_id,Neighborhood,EstimateTotal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
50,Marshall-Shadeland,966,11,14,46,54,8,39,57,137,81,153,128,84,41,35,56,5,6,0,0,0,5,6,0,0,0,0
51,Middle Hill,266,0,5,5,4,0,28,6,11,18,71,0,15,5,54,5,26,0,0,2,11,0,0,0,0,0,0
52,Morningside,954,34,22,0,0,0,6,35,8,22,43,50,151,41,98,190,115,24,100,0,0,0,15,0,0,0,0
53,Mount Oliver Borough,593,4,0,0,0,35,50,57,160,100,104,45,9,12,0,0,9,0,8,0,0,0,0,0,0,0,0
54,Mount Washington,1828,27,9,9,26,13,63,45,130,256,161,184,142,83,118,98,114,84,112,14,47,20,30,20,0,0,23
55,Mt. Oliver,164,0,0,0,0,15,8,13,40,16,21,19,0,9,9,0,0,0,5,5,4,0,0,0,0,0,0
56,New Homestead,377,2,17,0,0,0,0,0,0,17,9,32,32,18,103,62,11,4,43,10,14,3,0,0,0,0,0
57,North Oakland,873,17,0,5,0,9,14,0,0,26,69,18,55,36,124,47,94,53,79,47,23,100,41,16,0,0,0
58,North Shore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Northview Heights,12,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Oakwood,236,8,0,0,0,5,0,0,0,20,3,21,36,32,42,24,15,8,6,16,0,0,0,0,0,0,0
61,Overbrook,1283,3,0,0,4,13,29,19,78,113,250,169,177,134,163,73,17,7,15,6,0,0,6,0,7,0,0
62,Perry North,1069,18,5,19,7,13,14,11,55,57,116,159,82,76,151,102,62,40,54,8,15,0,0,5,0,0,0
63,Perry South,800,19,33,21,8,53,54,14,67,100,120,109,56,64,16,4,26,0,18,0,18,0,0,0,0,0,0
64,Point Breeze,1623,14,0,0,15,0,5,0,15,0,15,16,4,17,52,35,73,80,217,250,318,246,168,71,8,4,0
65,Point Breeze North,336,0,0,0,0,0,6,0,11,0,0,7,14,0,28,45,20,34,49,50,59,0,13,0,0,0,0
66,Polish Hill,334,0,0,5,17,9,12,10,40,20,32,30,4,20,26,27,23,39,18,2,0,0,0,0,0,0,0
67,Regent Square,343,0,0,0,0,5,0,0,0,0,0,6,0,0,10,13,24,6,86,67,72,35,13,0,0,6,0
68,Ridgemont,136,0,0,0,0,0,0,0,0,2,10,26,29,19,17,24,0,0,0,0,9,0,0,0,0,0,0
69,Shadyside,1936,0,0,0,13,0,0,0,0,11,0,15,11,19,214,86,58,95,244,268,332,163,243,111,36,17,0
70,Sheraden,1354,6,5,51,60,88,131,71,148,218,103,132,57,74,68,74,5,8,39,0,6,10,0,0,0,0,0
71,South Oakland,418,0,0,21,0,15,22,0,7,40,27,44,73,0,70,63,20,7,9,0,0,0,0,0,0,0,0
72,South Shore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,South Side Flats,1385,8,11,0,0,10,0,13,45,0,10,38,79,57,88,103,98,76,311,187,164,64,10,13,0,0,0
74,South Side Slopes,1053,31,31,23,28,34,59,30,95,82,44,80,82,8,106,64,76,17,60,16,74,13,0,0,0,0,0
75,Spring Garden,272,4,12,24,43,18,14,5,23,18,22,4,25,0,35,6,0,7,12,0,0,0,0,0,0,0,0
76,Spring Hill-City View,639,15,25,26,8,8,0,34,62,79,90,86,12,63,71,27,16,0,17,0,0,0,0,0,0,0,0
77,Squirrel Hill North,1967,11,0,0,0,0,8,0,0,0,22,9,0,9,23,36,48,77,216,188,279,307,383,206,74,21,50
78,Squirrel Hill South,3152,36,0,28,6,13,0,16,0,36,0,20,32,28,200,119,217,198,460,343,482,328,382,149,43,0,16
79,St. Clair,48,0,4,0,0,3,0,24,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Stanton Heights,1697,11,19,10,0,22,0,0,45,80,112,86,132,193,439,181,246,41,55,10,0,0,15,0,0,0,0
81,Strip District,72,0,0,0,0,0,0,0,0,0,0,0,20,0,0,8,0,0,15,0,8,7,7,7,0,0,0
82,Summer Hill,403,5,0,0,4,0,0,0,4,30,28,52,84,46,76,24,22,16,6,0,6,0,0,0,0,0,0
83,Swisshelm Park,514,9,0,0,0,0,16,0,10,0,20,38,13,16,137,38,74,56,37,10,28,12,0,0,0,0,0
84,Terrace Village,56,3,0,0,6,4,0,0,14,0,0,10,0,0,0,4,6,0,0,0,9,0,0,0,0,0,0
85,Troy Hill,618,20,8,0,14,24,62,25,89,80,42,49,59,24,28,0,0,15,7,0,16,15,41,0,0,0,0
86,Upper Hill,513,0,22,23,42,24,11,8,9,15,91,59,15,14,16,13,6,9,6,36,60,9,25,0,0,0,0
87,Upper Lawrenceville,594,0,0,17,13,5,23,55,42,91,57,47,99,7,4,49,25,18,20,8,14,0,0,0,0,0,0
88,West End,35,0,0,0,12,0,0,0,0,7,0,4,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0
89,West Oakland,204,0,0,10,0,6,23,0,13,52,11,37,0,10,2,0,20,0,4,8,0,8,0,0,0,0,0
90,Westwood,973,29,0,0,0,0,0,9,25,65,70,59,104,124,191,108,42,0,130,17,0,0,0,0,0,0,0
91,Windgap,537,25,36,5,0,0,18,8,46,47,54,49,40,33,129,17,30,0,0,0,0,0,0,0,0,0,0
